actor_entropy,actor_loss,actor_target_entropy,alpha_loss,alpha_value,critic_loss,duration,episode,episode_reward,step
3.8904276185035704,-1.1379525820612908,-6.0,0.8810941151827574,0.08926533023680765,0.04704895781725645,188.49002408981323,3.0,61.1774220980582,1500
4.058335817337036,-1.9837793216705322,-6.0,0.7151411535739899,0.071094788721158,0.02204212766326964,191.62933611869812,4.0,48.92279062792129,2000
3.9190174684524535,-2.696802893638611,-6.0,0.5754374001026153,0.05799929023095958,0.03985664401017129,205.68584609031677,5.0,44.0762430019513,2500
3.7424505434036255,-3.228369634628296,-6.0,0.4700772883892059,0.048236760945445115,0.1559287644252181,203.92276406288147,6.0,68.61822416116634,3000
3.7404371728897097,-3.8243028554916383,-6.0,0.39635859310626986,0.040678281013661235,0.1204101539067924,193.1002938747406,7.0,37.73697904522417,3500
3.5553980627059936,-4.2592105417251584,-6.0,0.3315944232940674,0.03469775280512833,0.14514174143224953,193.82990860939026,8.0,30.41410279231327,4000
3.2700417261123658,-4.700801700592041,-6.0,0.2774371665120125,0.029909242257687076,0.20331072507798673,195.63366031646729,9.0,54.27467134280495,4500
2.7166085138320923,-5.137603507995605,-6.0,0.22760416769981384,0.026085818303645914,0.3190723451077938,196.71705555915833,10.0,54.33736098270444,5000
2.5361597638130187,-5.470948003768921,-6.0,0.19622113382816314,0.02297375308019014,0.4270942672640085,292.6879172325134,11.0,71.02359267036574,5500
2.5310763907432556,-5.74391675567627,-6.0,0.17329898303747177,0.02029827326360365,0.4351248335391283,197.1574375629425,12.0,65.24938707325111,6000
1.2461188555955887,-6.041262184143067,-6.0,0.13142645618319512,0.0180852032609358,0.6288170319199562,196.0842170715332,13.0,78.67427535878187,6500
-0.2838167929053307,-6.391330904006958,-6.0,0.09435591028630734,0.01652144378233711,0.5798171421289444,197.25876092910767,14.0,34.70783999374763,7000
-0.6459176602959633,-6.712793254852295,-6.0,0.08141589969396591,0.015163634669220348,0.8110745185315609,198.08749985694885,15.0,72.69918046279068,7500
-2.096738536775112,-7.1327711143493655,-6.0,0.05523490861803293,0.01413033852189441,0.654948450267315,199.46616291999817,16.0,142.91076609426003,8000
-2.37519570851326,-7.623682231903076,-6.0,0.04823797908425331,0.013323407963791774,0.8161745417416095,186.91253447532654,17.0,55.547189409358964,8500
-2.5645899469852447,-7.951399084091187,-6.0,0.04300652521848679,0.012505299208145984,0.7663093392848969,185.46195316314697,18.0,59.00504116175159,9000
-2.901397099018097,-8.369333999633788,-6.0,0.03652644122391939,0.011795189810340622,0.8088471419215202,192.76378297805786,19.0,109.5369560057566,9500
